"ins","type_entite","entite","periode","valeur"
"63035","Commune","Herve","31/12/2018","0.0"
"63038","Commune","Jalhay","31/12/2018","0.0"
"63040","Commune","La Calamine","31/12/2018","0.0"
"63045","Commune","Lierneux","31/12/2018","0.0"
"63046","Commune","Limbourg","31/12/2018","0.0"
"63048","Commune","Lontzen","31/12/2018","0.0"
"63049","Commune","Malmedy","31/12/2018","0.0"
"63057","Commune","Olne","31/12/2018","30.0"
"63058","Commune","Pepinster","31/12/2018","0.0"
"63061","Commune","Raeren","31/12/2018","0.0"
"63067","Commune","Saint-Vith","31/12/2018","2.7"
"63072","Commune","Spa","31/12/2018","0.2"
"63073","Commune","Stavelot","31/12/2018","0.0"
"63075","Commune","Stoumont","31/12/2018","0.0"
"63076","Commune","Theux","31/12/2018","0.0"
"63079","Commune","Verviers","31/12/2018","13.9"
"63080","Commune","Waimes","31/12/2018","0.0"
"63084","Commune","Welkenraedt","31/12/2018","0.0"
"63086","Commune","Trois-Ponts","31/12/2018","0.0"
"63087","Commune","Burg-Reuland","31/12/2018","0.0"
"63088","Commune","Plombières","31/12/2018","0.0"
"63089","Commune","Thimister-Clermont","31/12/2018","0.0"
"64000","Arrondissement","Waremme","31/12/2018","22.0"
"64008","Commune","Berloz","31/12/2018","0.0"
"64015","Commune","Braives","31/12/2018","0.0"
"64021","Commune","Crisnée","31/12/2018","0.0"
"64023","Commune","Donceel","31/12/2018","0.0"
"64025","Commune","Fexhe-le-Haut-Clocher","31/12/2018","0.0"
"64029","Commune","Geer","31/12/2018","0.0"
"64034","Commune","Hannut","31/12/2018","0.0"
"64047","Commune","Lincent","31/12/2018",""
"64056","Commune","Oreye","31/12/2018","0.0"
"64063","Commune","Remicourt","31/12/2018","56.3"
"64065","Commune","Saint-Georges-sur-Meuse","31/12/2018","0.0"
"64074","Commune","Waremme","31/12/2018","62.1"
"64075","Commune","Wasseiges","31/12/2018","0.0"
"64076","Commune","Faimes","31/12/2018","0.0"
"80000","Province","Luxembourg","31/12/2018","2.4"
"81000","Arrondissement","Arlon","31/12/2018","0.0"
"81001","Commune","Arlon","31/12/2018","0.0"
"81003","Commune","Attert","31/12/2018",""
"81004","Commune","Aubange","31/12/2018","0.0"
"81013","Commune","Martelange","31/12/2018","0.0"
"81015","Commune","Messancy","31/12/2018","0.0"
"82000","Arrondissement","Bastogne","31/12/2018","0.0"
"82003","Commune","Bastogne","31/12/2018","0.0"
"82005","Commune","Bertogne","31/12/2018","0.0"
"82009","Commune","Fauvillers","31/12/2018","0.0"
"82014","Commune","Houffalize","31/12/2018","0.0"
"82032","Commune","Vielsalm","31/12/2018","0.0"
"82036","Commune","Vaux-sur-Sûre","31/12/2018","0.0"
"82037","Commune","Gouvy","31/12/2018","0.0"
"82038","Commune","Sainte-Ode","31/12/2018","0.0"
"83000","Arrondissement","Marche-en-Famenne","31/12/2018","11.8"
"83012","Commune","Durbuy","31/12/2018","0.0"
"83013","Commune","Érezée","31/12/2018","0.0"
"83028","Commune","Hotton","31/12/2018","0.0"
"83031","Commune","La Roche-en-Ardenne","31/12/2018","0.0"
"83034","Commune","Marche-en-Famenne","31/12/2018","15.2"
"83040","Commune","Nassogne","31/12/2018","0.0"
"83044","Commune","Rendeux","31/12/2018","0.0"
"83049","Commune","Tenneville","31/12/2018","0.0"
"83055","Commune","Manhay","31/12/2018","0.0"
"84000","Arrondissement","Neufchâteau","31/12/2018","0.5"
"84009","Commune","Bertrix","31/12/2018","0.0"
"84010","Commune","Bouillon","31/12/2018","0.0"
"84016","Commune","Daverdisse","31/12/2018",""
"84029","Commune","Herbeumont","31/12/2018","0.0"
"84033","Commune","Léglise","31/12/2018","0.0"
"84035","Commune","Libin","31/12/2018","0.0"
"84043","Commune","Neufchâteau","31/12/2018","0.0"
"84050","Commune","Paliseul","31/12/2018","0.0"
"84059","Commune","Saint-Hubert","31/12/2018","9.1"
"84068","Commune","Tellin","31/12/2018","66.7"
"84075","Commune","Wellin","31/12/2018","0.0"
"84077","Commune","Libramont-Chevigny","31/12/2018","0.0"
"85000","Arrondissement","Virton","31/12/2018","0.0"
"85007","Commune","Chiny","31/12/2018","0.0"
"85009","Commune","Étalle","31/12/2018","0.0"
"85011","Commune","Florenville","31/12/2018","0.0"
"85024","Commune","Meix-devant-Virton","31/12/2018","0.0"
"85026","Commune","Musson","31/12/2018","0.0"
"85034","Commune","Saint-Léger","31/12/2018","0.0"
"85039","Commune","Tintigny","31/12/2018","0.0"
"85045","Commune","Virton","31/12/2018","0.0"
"85046","Commune","Habay","31/12/2018","0.0"
"85047","Commune","Rouvroy","31/12/2018","0.0"
"90000","Province","Namur","31/12/2018","3.5"
"91000","Arrondissement","Dinant","31/12/2018","11.6"
"91005","Commune","Anhée","31/12/2018","0.0"
"91013","Commune","Beauraing","31/12/2018","0.0"
"91015","Commune","Bièvre","31/12/2018","0.0"
"91030","Commune","Ciney","31/12/2018","2.9"
"91034","Commune","Dinant","31/12/2018","0.0"
"91054","Commune","Gedinne","31/12/2018","0.0"
"91059","Commune","Hamois","31/12/2018","0.0"
"91064","Commune","Havelange","31/12/2018","0.0"
"91072","Commune","Houyet","31/12/2018","0.0"
"91103","Commune","Onhaye","31/12/2018","0.0"
"91114","Commune","Rochefort","31/12/2018","0.0"
"91120","Commune","Somme-Leuze","31/12/2018","79.9"
"91141","Commune","Yvoir","31/12/2018","0.0"
"91142","Commune","Hastière","31/12/2018","0.0"
"91143","Commune","Vresse-sur-Semois","31/12/2018","0.0"
"92000","Arrondissement","Namur","31/12/2018","2.1"
"92003","Commune","Andenne","31/12/2018","0.0"
"92006","Commune","Assesse","31/12/2018","0.0"
"92035","Commune","Éghezée","31/12/2018","0.0"
"92045","Commune","Floreffe","31/12/2018","0.0"
"92048","Commune","Fosses-la-Ville","31/12/2018","0.0"
"92054","Commune","Gesves","31/12/2018","0.0"
"92087","Commune","Mettet","31/12/2018","0.0"
"92094","Commune","Namur","31/12/2018","1.5"
"92097","Commune","Ohey","31/12/2018","0.0"
"92101","Commune","Profondeville","31/12/2018","0.0"
"92114","Commune","Sombreffe","31/12/2018","0.0"
"92137","Commune","Sambreville","31/12/2018","0.0"
"92138","Commune","Fernelmont","31/12/2018","7.1"
"92140","Commune","Jemeppe-sur-Sambre","31/12/2018","0.0"
"92141","Commune","La Bruyère","31/12/2018","0.0"
"92142","Commune","Gembloux","31/12/2018","16.2"
"93000","Arrondissement","Philippeville","31/12/2018","0.0"
"93010","Commune","Cerfontaine","31/12/2018","0.0"
"93014","Commune","Couvin","31/12/2018","0.0"
"93018","Commune","Doische","31/12/2018",""
"93022","Commune","Florennes","31/12/2018","0.0"
"93056","Commune","Philippeville","31/12/2018","0.0"
"93088","Commune","Walcourt","31/12/2018","0.0"
"93090","Commune","Viroinval","31/12/2018","0.0"
